name,pKa,C,H,Ka,HA,A_minus,alpha_acid,alpha_base
Acetate,4.73,0.042,1e-07,1.8620871366628657e-05,0.00022434853152651925,0.041775651468473486,0.005341631703012363,0.9946583682969877
NTP,6.95,0.01,1e-07,1.122018454301963e-07,0.004712494361077315,0.005287505638922685,0.4712494361077315,0.5287505638922685
Pi,7.2,0.06,1e-07,6.30957344480193e-08,0.036788209209188585,0.023211790790811412,0.6131368201531431,0.38686317984685686
HEPES,7.3,0.04,1e-07,5.011872336272725e-08,0.02664557698332488,0.01335442301667512,0.666139424583122,0.333860575416878
